ID,Pincode,City,District,State
439,140702,Patiala,Patiala,PUNJAB
440,140802,Khamanon,Fatehgarh Sahib,PUNJAB
441,140901,Mullanpur,Mohali,PUNJAB
442,141001,Bharat Nagar Chowk,Ludhiana,PUNJAB
443,141002,Ludhiana,Ludhiana,PUNJAB
444,141003,Ludhiana,Ludhiana,PUNJAB
445,141004,Ludhiana,Ludhiana,PUNJAB
446,141006,Ludhiana,Ludhiana,PUNJAB
447,141007,Ludhiana,Ludhiana,PUNJAB
448,141008,Ludhiana,Ludhiana,PUNJAB
449,141010,Ludhiana,Ludhiana,PUNJAB
450,141012,Ludhiana,Ludhiana,PUNJAB
451,141013,Ludhiana,Ludhiana,PUNJAB
452,141014,Ludhiana,Ludhiana,PUNJAB
453,141015,Ludhiana,Ludhiana,PUNJAB
454,141016,N/A,Ludhiana,PUNJAB
455,141017,Ludhiana,Ludhiana,PUNJAB
456,141101,Ludhiana,Ludhiana,PUNJAB
457,141102,Ludhiana,Ludhiana,PUNJAB
458,141103,Khanna,Ludhiana,PUNJAB
459,141104,Ludhiana,Ludhiana,PUNJAB
460,141105,Ludhiana,Ludhiana,PUNJAB
461,141106,Ludhiana (East),Ludhiana,PUNJAB
462,141107,Ludhiana,Ludhiana,PUNJAB
463,141108,Ludhiana,Ludhiana,PUNJAB
464,141109,Ludhiana,Ludhiana,PUNJAB
465,141110,Ludhiana,Ludhiana,PUNJAB
466,141112,Ludhiana,Ludhiana,PUNJAB
467,141113,Ludhiana,Ludhiana,PUNJAB
468,141114,Ludhiana,Ludhiana,PUNJAB
469,141115,Ludhiana,Ludhiana,PUNJAB
470,141116,Ludhiana,Ludhiana,PUNJAB
471,141117,Ludhiana,Ludhiana,PUNJAB
472,141118,Ludhiana,Ludhiana,PUNJAB
473,141119,Ludhiana,Ludhiana,PUNJAB
474,141120,Ludhiana,Ludhiana,PUNJAB
475,141121,Ludhiana,Ludhiana,PUNJAB
476,141122,Ludhiana,Ludhiana,PUNJAB
